Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg Run Cadence,Max Run Cadence,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Max Depth,Bottom Time,Min Water Temp,Gas Type,Surface Interval,Decompression,Weight,Current,Surface Conditions,Water Type
running,2018-05-01 07:12:42,false,"San Francisco Running","10.39","1,141","1:09:17","--","--","0.0","173","245","6:40","3:43","148","168","1.37","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-30 08:25:16,false,"San Francisco Running","7.49","857","49:14","--","--","0.0","179","219","6:34","3:43","259","295","1.37","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-29 10:08:11,false,"San Francisco Running","5.37","631","35:38","--","--","0.0","183","198","6:38","1:28","123","147","1.32","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-28 10:00:23,false,"San Francisco Running","13.26","1,559","1:28:03","--","--","0.0","182","245","6:38","3:52","491","460","1.33","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-27 07:18:06,false,"San Francisco Running","9.08","1,005","1:01:57","--","--","0.0","169","210","6:49","4:03","169","331","1.37","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-26 07:36:58,false,"San Francisco Running","6.85","802","45:36","--","--","0.0","181","209","6:39","2:51","248","278","1.33","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-25 08:20:29,false,"San Francisco Running","7.46","872","49:25","--","--","0.0","185","247","6:37","5:22","273","303","1.31","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-24 10:12:52,false,"San Francisco Running","12.54","1,457","1:18:02","--","--","0.0","188","210","6:13","5:26","436","471","1.38","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-23 16:58:55,false,"San Francisco Running","5.20","617","36:10","--","--","0.0","181","204","6:57","2:36","48","30","1.28","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-23 07:23:34,false,"San Francisco Running","6.45","741","43:20","--","--","0.0","180","219","6:43","3:13","155","206","1.33","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-21 19:03:33,false,"Santa Clara County Running","4.38","521","33:33","--","--","0.0","178","185","7:40","6:11","30","93","1.18","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-21 16:24:43,false,"Santa Clara County Running","2.53","297","18:02","--","--","0.0","178","196","7:08","6:40","13","13","1.27","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-21 12:16:26,false,"San Francisco Running","1.42","166","9:52.6","--","--","0.0","179","198","6:59","3:02","121","123","1.29","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-20 07:42:34,false,"San Francisco Running","5.69","651","39:06","--","--","0.0","182","221","6:52","3:07","147","183","1.29","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-19 07:46:00,false,"San Francisco Running","6.19","723","41:39","--","--","0.0","185","204","6:44","2:13","205","259","1.29","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-18 07:55:52,false,"San Francisco Running","6.42","750","44:10","--","--","0.0","183","202","6:53","5:38","329","328","1.28","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-17 08:19:35,false,"San Francisco Running","2.70","315","19:17","--","--","0.0","181","204","7:08","6:23","68","39","1.25","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-17 07:50:11,false,"San Francisco Running","2.53","257","16:17","--","--","0.0","162","236","6:27","3:53","17","17","1.44","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-17 07:12:59,false,"San Francisco Running","2.57","306","18:55","--","--","0.0","180","198","7:21","6:04","62","92","1.22","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-16 16:49:26,false,"San Francisco Running","5.15","600","35:01","--","--","0.0","181","200","6:48","2:04","104","120","1.30","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-16 07:14:05,false,"San Francisco Running","6.68","765","44:18","--","--","0.0","179","224","6:38","3:59","295","326","1.37","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-15 10:48:47,false,"San Francisco Running","13.46","1,583","1:27:51","--","--","0.0","185","219","6:32","3:35","509","502","1.33","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-14 15:59:41,false,"Los Angeles Running","3.46","394","24:21","--","--","0.0","169","224","7:02","3:29","5","8","1.34","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-14 14:53:12,false,"Los Angeles Running","2.43","286","16:34","--","--","0.0","178","196","6:48","6:00","8","11","1.33","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-14 10:03:05,false,"West Covina Running","1.48","173","10:27","--","--","0.0","185","195","7:03","5:14","66","55","1.24","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-13 13:33:27,false,"Azusa Running","1.35","159","9:11.2","--","--","0.0","174","184","6:48","5:59","--","5","1.36","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-13 13:21:49,false,"Azusa Running","0.72","65","5:08.2","--","--","0.0","157","230","7:10","3:31","--","3","1.38","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
