runs_to_race,run_miles,workout,race,long_run
0,2,0,0,0
1,3,0,0,0
2,4,0,0,0
3,10,0,0,0
4,5,0,0,0
5,3,0,0,0
6,5,0,0,0
7,6.2,0,0,0
8,5,0,0,0
9,3,0,0,0
10,5,0,0,0
11,8,0,0,0
12,4.5,0,0,0
13,3,0,0,0
14,4.5,0,0,0
15,7,0,0,0
16,4.5,0,0,0
17,3,0,0,0
18,4.5,0,0,0
19,3.1,0,0,0
20,4,0,0,0
21,2,0,0,0
22,4,0,0,0
23,6,0,0,0
24,4,0,0,0
25,2,0,0,0
26,4,0,0,0
27,5,0,0,0
28,3.5,0,0,0
29,2,0,0,0
30,3.5,0,0,0
31,5,0,0,0
32,3.5,0,0,0
33,2,0,0,0
34,3.5,0,0,0
35,4,0,0,0
36,3,0,0,0
37,2,0,0,0
38,3,0,0,0
39,4,0,0,0
40,3,0,0,0
41,2,0,0,0
42,3,0,0,0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
