runs_to_race,run_miles,workout,race,long_run
0,3,0,0,0
1,4,0,0,0
2,5,0,0,0
3,4,0,0,0
4,12,0,0,0
5,4,0,0,0
6,5,0,0,0
7,6,0,0,0
8,5,0,0,0
9,20,0,0,0
10,5,0,0,0
11,5,0,0,0
12,8,0,0,0
13,5,0,0,0
14,12,0,0,0
15,8,0,0,0
16,5,0,0,0
17,5,0,0,0
18,5,0,0,0
19,20,0,0,0
20,5,0,0,0
21,5,0,0,0
22,8,0,0,0
23,5,0,0,0
24,13,0,0,0
25,8,0,0,0
26,5,0,0,0
27,5,0,0,0
28,5,0,0,0
29,18,0,0,0
30,8,0,0,0
31,5,0,0,0
32,8,0,0,0
33,5,0,0,0
34,17,0,0,0
35,8,0,0,0
36,4,0,0,0
37,8,0,0,0
38,4,0,0,0
39,13,0,0,0
40,4,0,0,0
41,5,0,0,0
42,4,0,0,0
43,15,0,0,0
44,7,0,0,0
45,4,0,0,0
46,7,0,0,0
47,4,0,0,0
48,14,0,0,0
49,7,0,0,0
50,4,0,0,0
51,7,0,0,0
52,4,0,0,0
53,9,0,0,0
54,6,0,0,0
55,3,0,0,0
56,5,0,0,0
57,3,0,0,0
58,12,0,0,0
59,6,0,0,0
60,3,0,0,0
61,6,0,0,0
62,3,0,0,0
63,11,0,0,0
64,6,0,0,0
65,3,0,0,0
66,6,0,0,0
67,3,0,0,0
68,6,0,0,0
69,5,0,0,0
70,3,0,0,0
71,5,0,0,0
72,3,0,0,0
73,9,0,0,0
74,5,0,0,0
75,3,0,0,0
76,5,0,0,0
77,3,0,0,0
78,8,0,0,0
79,5,0,0,0
80,3,0,0,0
81,5,0,0,0
82,3,0,0,0
