runs_to_race,run_miles,workout,race,long_run
0,3.0,0,0,0
1,2.0,0,0,0
2,12.0,0,0,0
3,3.0,0,0,0
4,5.0,0,0,0
5,3.0,0,0,0
6,11.0,0,0,0
7,3.0,0,0,0
8,5.0,0,0,0
9,3.0,0,0,0
10,6.2,0,0,0
11,3.0,0,0,0
12,5.0,0,0,0
13,3.0,0,0,0
14,10.0,0,0,0
15,3.0,0,0,0
16,5.0,0,0,0
17,3.0,0,0,0
18,9.0,0,0,0
19,3.0,0,0,0
20,5.0,0,0,0
21,3.0,0,0,0
22,3.1,0,0,0
23,3.0,0,0,0
24,4.0,0,0,0
25,3.0,0,0,0
26,8.0,0,0,0
27,3.0,0,0,0
28,4.0,0,0,0
29,3.0,0,0,0
30,7.0,0,0,0
31,3.0,0,0,0
32,4.0,0,0,0
33,3.0,0,0,0
34,6.0,0,0,0
35,3.0,0,0,0
36,4.0,0,0,0
37,3.0,0,0,0
38,5.0,0,0,0
39,3.0,0,0,0
40,3.0,0,0,0
41,3.0,0,0,0
42,4.0,0,0,0
43,3.0,0,0,0
44,3.0,0,0,0
45,3.0,0,0,0
