run_date,miles,Time,Title
2018-05-01,3.46,1:09:17,San Francisco Running
2018-04-30,2.5,49:14:00,San Francisco Running
2018-04-29,1.79,35:38:00,San Francisco Running
2018-04-28,4.42,1:28:03,San Francisco Running
2018-04-27,3.03,1:01:57,San Francisco Running
2018-04-26,2.28,45:36:00,San Francisco Running
2018-04-25,2.49,49:25:00,San Francisco Running
2018-04-24,4.18,1:18:02,San Francisco Running
2018-04-23,1.73,36:10:00,San Francisco Running
2018-04-23,2.15,43:20:00,San Francisco Running
2018-04-21,1.46,33:33:00,Santa Clara County Running
2018-04-21,0.84,18:02,Santa Clara County Running
2018-04-21,0.47,09:52.6,San Francisco Running
2018-04-20,1.9,39:06:00,San Francisco Running
2018-04-19,2.06,41:39:00,San Francisco Running
2018-04-18,2.14,44:10:00,San Francisco Running
2018-04-17,0.9,19:17,San Francisco Running
2018-04-17,0.84,16:17,San Francisco Running
2018-04-17,0.86,18:55,San Francisco Running
2018-04-16,1.72,35:01:00,San Francisco Running
2018-04-16,2.23,44:18:00,San Francisco Running
2018-04-15,4.49,1:27:51,San Francisco Running
2018-04-14,1.15,24:21:00,Los Angeles Running
2018-04-14,0.81,16:34,Los Angeles Running
2018-04-14,0.49,10:27,West Covina Running
2018-04-13,0.45,09:11.2,Azusa Running
2018-04-13,0.24,05:08.2,Azusa Running
2018-04-13,1.13,24:11:00,Azusa Running
2018-04-12,2.15,45:07:00,San Francisco Running
2018-04-11,1.44,30:01:00,San Francisco Running
2018-04-11,2.56,51:30:00,San Francisco Running
2018-04-10,0.51,12:13,San Francisco Running
2018-04-10,1.48,25:37:00,San Francisco Running
2018-04-10,1,20:37,San Francisco Running
2018-04-09,2.21,44:52:00,San Francisco Running
2018-04-09,1.59,32:01:00,San Francisco Running
2018-04-07,4.52,1:29:12,San Francisco Running
2018-04-06,0.51,12:31,San Francisco Running
2018-04-06,1.21,28:42:00,San Francisco Running
2018-04-06,1.53,28:55:00,San Francisco Running
2018-04-05,1.45,29:57:00,San Francisco Running
2018-04-05,2.3,46:39:00,San Francisco Running
2018-04-04,2.67,54:03:00,San Francisco Running
