miles,run_day,run_date,week_start
2.0,0,2018-04-23,2018-04-23
2.0,1,2018-04-24,2018-04-23
4.0,3,2018-04-26,2018-04-23
2.0,0,2018-04-30,2018-04-30
2.0,3,2018-05-03,2018-04-30
4.0,4,2018-05-04,2018-04-30
2.0,0,2018-05-07,2018-05-07
2.0,1,2018-05-08,2018-05-07
1.0,2,2018-05-09,2018-05-07
2.0,4,2018-05-11,2018-05-07
1.5,0,2018-05-14,2018-05-14
1.5,1,2018-05-15,2018-05-14
1.5,3,2018-05-17,2018-05-14
2.0,4,2018-05-18,2018-05-14
2.0,0,2018-05-21,2018-05-21
3.0,1,2018-05-22,2018-05-21
1.5,2,2018-05-23,2018-05-21
3.0,3,2018-05-24,2018-05-21
4.0,4,2018-05-25,2018-05-21
3.0,0,2018-05-28,2018-05-28
3.0,1,2018-05-29,2018-05-28
5.0,2,2018-05-30,2018-05-28
5.0,3,2018-05-31,2018-05-28
5.0,4,2018-06-01,2018-05-28
6.0,0,2018-06-04,2018-06-04
3.0,1,2018-06-05,2018-06-04
3.0,2,2018-06-06,2018-06-04
8.0,3,2018-06-07,2018-06-04
11.0,4,2018-06-08,2018-06-04
5.0,0,2018-06-11,2018-06-11
4.0,1,2018-06-12,2018-06-11
7.0,2,2018-06-13,2018-06-11
11.0,3,2018-06-14,2018-06-11
11.0,4,2018-06-15,2018-06-11
10.0,0,2018-06-18,2018-06-18
3.0,1,2018-06-19,2018-06-18
5.0,2,2018-06-20,2018-06-18
10.0,3,2018-06-21,2018-06-18
15.0,4,2018-06-22,2018-06-18
3.1,1,2018-06-26,2018-06-25
