week_of_run,miles,run_day,run_date,workout,long_run,week_start
0,0.0,5,2018-05-05,0.0,0.0,2018-04-30
1,0.0,1,2018-05-08,0.0,0.0,2018-05-07
1,0.0,5,2018-05-12,0.0,0.0,2018-05-07
1,0.0,6,2018-05-13,0.0,0.0,2018-05-07
2,0.0,1,2018-05-15,0.0,0.0,2018-05-14
2,0.0,2,2018-05-16,0.0,0.0,2018-05-14
2,0.0,3,2018-05-17,0.0,0.0,2018-05-14
2,0.0,6,2018-05-20,0.0,0.0,2018-05-14
3,0.0,1,2018-05-22,0.0,0.0,2018-05-21
3,0.0,2,2018-05-23,0.0,0.0,2018-05-21
3,0.0,3,2018-05-24,0.0,0.0,2018-05-21
3,0.0,5,2018-05-26,0.0,0.0,2018-05-21
4,0.0,2,2018-05-30,0.0,0.0,2018-05-28
4,6.2,5,2018-06-02,0.0,0.0,2018-05-28
