week_of_run,miles,run_day,run_date,workout,long_run,week_start
0,3.0,0,2018-04-23,0,0,2018-04-23
0,3.0,4,2018-04-27,0,0,2018-04-23
0,9.0,6,2018-04-29,0,0,2018-04-23
1,4.0,0,2018-04-30,0,0,2018-04-30
1,5.0,4,2018-05-04,0,0,2018-04-30
1,8.0,6,2018-05-06,0,0,2018-04-30
2,3.0,0,2018-05-07,0,0,2018-05-07
2,7.0,4,2018-05-11,0,0,2018-05-07
2,3.0,5,2018-05-12,0,0,2018-05-07
2,3.0,6,2018-05-13,0,0,2018-05-07
3,6.0,0,2018-05-14,0,0,2018-05-14
3,4.0,4,2018-05-18,0,0,2018-05-14
3,5.0,5,2018-05-19,0,0,2018-05-14
3,4.0,6,2018-05-20,0,0,2018-05-14
4,3.1,3,2018-05-24,0,0,2018-05-21
